Anno,Italia,Germania,Francia,Spagna,UE_media,Base
1995,104.8,110.3,108.0,77.7,100,EU-15=100
2000,101.9,101.8,107.0,83.0,100,EU-15=100
2005,94.0,102.4,105.0,88.7,100,EU-15=100
2010,94.0,108.3,103.0,88.5,100,EU-15=100
2015,88.2,113.5,99.0,85.7,100,EU-15=100
2017,87.6,113.4,98.0,87.8,100,EU-15=100
2024,91.0,110.0,93.0,89.0,100,EU-27=100
Fonte,Eurostat tec00114;European Commission European Economy,, ,"","",""
Note,Valori 1995-2017 su base EU-15=100; valori 2024 su base EU-27=100. Francia 1995-2017 stimati da trend.,,,,,,
