Indicatore,Valore,Fonte,Note
Partecipazioni totali,39000,Corte dei Conti Referto 2025,"Al 31/12/2022"
Societa' partecipate,4800,Corte dei Conti Referto 2025,"
Partecipazioni non conformi TUSP,37,Corte dei Conti Referto 2025,"Percentuale sul totale"
Partecipazioni anomale (zero dipendenti),14,Corte dei Conti Referto 2025,"Percentuale sul totale"
Societa' con 4 esercizi in perdita,191,Corte dei Conti Referto 2025,"Ultimi 5 anni"
Partecipate pubbliche tra top 50 societa',13,Corte dei Conti / ORA elaborazione,"34,3% del totale vs UK 0%"
Dipendenti partecipate (migliaia),556,Corte dei Conti Referto 2025,"
